2023-01-06T15:39:45.818994+0100	| INFO	| run_mission.py:run:39 	- Waiting for drone to connect...>
2023-01-06T15:39:45.829835+0100	| INFO	| run_mission.py:run:42 	- Connected to drone!>
2023-01-06T15:39:45.833374+0100	| INFO	| run_mission.py:run:45 	- Waiting for drone to have a global position estimate...>
2023-01-06T15:39:58.249999+0100	| INFO	| run_mission.py:run:48 	- Global position estimate OK>
2023-01-06T15:39:58.295571+0100	| INFO	| run_mission.py:run:56 	- Arming>
2023-01-06T15:39:58.569851+0100	| INFO	| run_mission.py:run:93 	- Uploading mission 0>
2023-01-06T15:39:58.575562+0100	| DEBUG	| run_mission.py:do_mast_recognition:168 	- Mast recognition called>
2023-01-06T15:39:58.575881+0100	| DEBUG	| run_mission.py:do_mast_recognition:169 	- Has Found Mast: False>
2023-01-06T15:39:58.576011+0100	| INFO	| run_mission.py:do_mast_recognition:173 	- Taking image>
2023-01-06T15:39:58.617040+0100	| DEBUG	| run_mission.py:image_contains_mast:201 	- image_contains_mast called>
2023-01-06T15:39:59.512614+0100	| DEBUG	| run_mission.py:image_contains_mast:207 	- image_contains_mast returned False, confidence: 0.677013635635376>
2023-01-06T15:39:59.513015+0100	| DEBUG	| run_mission.py:do_mast_recognition:187 	- Mast-check completed.>
2023-01-06T15:40:00.515817+0100	| INFO	| run_mission.py:run:98 	- Starting mission>
2023-01-06T15:40:00.634288+0100	| INFO	| run_mission.py:run:101 	- Now checking mast F2542G at 10.554784917159, 55.3743128282325>
2023-01-06T15:40:04.515676+0100	| INFO	| run_mission.py:do_mast_recognition:173 	- Taking image>
2023-01-06T15:40:04.529802+0100	| DEBUG	| run_mission.py:image_contains_mast:201 	- image_contains_mast called>
2023-01-06T15:40:04.896725+0100	| DEBUG	| run_mission.py:image_contains_mast:207 	- image_contains_mast returned False, confidence: 0.5107563138008118>
2023-01-06T15:40:04.897362+0100	| DEBUG	| run_mission.py:do_mast_recognition:187 	- Mast-check completed.>
2023-01-06T15:40:09.899955+0100	| INFO	| run_mission.py:do_mast_recognition:173 	- Taking image>
2023-01-06T15:40:09.910296+0100	| DEBUG	| run_mission.py:image_contains_mast:201 	- image_contains_mast called>
2023-01-06T15:40:10.290572+0100	| DEBUG	| run_mission.py:image_contains_mast:207 	- image_contains_mast returned False, confidence: 0.4810534417629242>
2023-01-06T15:40:10.290902+0100	| DEBUG	| run_mission.py:do_mast_recognition:187 	- Mast-check completed.>
2023-01-06T15:40:15.293411+0100	| INFO	| run_mission.py:do_mast_recognition:173 	- Taking image>
2023-01-06T15:40:15.305263+0100	| DEBUG	| run_mission.py:image_contains_mast:201 	- image_contains_mast called>
2023-01-06T15:40:15.663603+0100	| DEBUG	| run_mission.py:image_contains_mast:207 	- image_contains_mast returned False, confidence: 0.5450667142868042>
2023-01-06T15:40:15.664832+0100	| DEBUG	| run_mission.py:do_mast_recognition:187 	- Mast-check completed.>
2023-01-06T15:40:20.666812+0100	| INFO	| run_mission.py:do_mast_recognition:173 	- Taking image>
