2023-01-13T09:32:56.663881+0100	| INFO	| run_mission.py:run:43 	- Waiting for drone to connect...>
2023-01-13T09:32:56.676401+0100	| INFO	| run_mission.py:run:46 	- Connected to drone!>
2023-01-13T09:32:56.677146+0100	| INFO	| run_mission.py:run:49 	- Waiting for drone to have a global position estimate...>
2023-01-13T09:33:06.211653+0100	| INFO	| run_mission.py:run:52 	- Global position estimate OK>
2023-01-13T09:33:06.291516+0100	| INFO	| run_mission.py:run:60 	- Arming>
2023-01-13T09:33:06.549638+0100	| INFO	| run_mission.py:run:97 	- Uploading mission 0>
2023-01-13T09:33:06.552807+0100	| DEBUG	| run_mission.py:do_mast_recognition:171 	- Mast recognition called>
2023-01-13T09:33:06.553144+0100	| DEBUG	| run_mission.py:do_mast_recognition:172 	- Has Found Mast: False>
2023-01-13T09:33:06.553342+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:06.625371+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:07.997921+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.36152905225753784>
2023-01-13T09:33:07.998462+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:08.999929+0100	| INFO	| run_mission.py:run:102 	- Starting mission>
2023-01-13T09:33:09.034991+0100	| INFO	| run_mission.py:run:105 	- Now checking mast F2542G at 10.554784917159, 55.3743128282325>
2023-01-13T09:33:13.001240+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:13.013499+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:13.495348+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5318602323532104>
2023-01-13T09:33:13.496981+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:18.499855+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:18.508919+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:18.906464+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5181959867477417>
2023-01-13T09:33:18.908476+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:23.910917+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:23.926726+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:24.312421+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5773371458053589>
2023-01-13T09:33:24.312790+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:29.316017+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:29.327983+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:29.861359+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.42368409037590027>
2023-01-13T09:33:29.862047+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:34.864216+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:34.878254+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:35.256572+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.24593278765678406>
2023-01-13T09:33:35.257031+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:40.259111+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:40.269196+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:40.817074+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5248034596443176>
2023-01-13T09:33:40.817667+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:45.819874+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:45.830048+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:46.296524+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.2887219488620758>
2023-01-13T09:33:46.296881+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:51.298916+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:51.311112+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:51.785367+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5046440958976746>
2023-01-13T09:33:51.785762+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:33:56.787710+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:33:56.801230+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:33:57.261165+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.31222325563430786>
2023-01-13T09:33:57.261561+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:34:02.263902+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:34:02.277854+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:34:02.891445+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.4707181453704834>
2023-01-13T09:34:02.892137+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:34:07.895046+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
2023-01-13T09:34:07.907089+0100	| DEBUG	| run_mission.py:image_contains_mast:204 	- image_contains_mast called>
2023-01-13T09:34:08.426323+0100	| DEBUG	| run_mission.py:image_contains_mast:210 	- image_contains_mast returned False, confidence: 0.5113001465797424>
2023-01-13T09:34:08.426679+0100	| DEBUG	| run_mission.py:do_mast_recognition:190 	- Mast-check completed.>
2023-01-13T09:34:13.428060+0100	| INFO	| run_mission.py:do_mast_recognition:176 	- Taking image>
